Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Population, total [SP.POP.TOTL]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
2016,YR2016,Afghanistan,AFG,522.082215583898,62.646,53.4350395202637,34700612,97.7,10.116
2016,YR2016,Albania,ALB,4457.63412207495,78.643,99.170755047578,2689469,99.9,15.418
2016,YR2016,Algeria,DZA,4424.98529027556,75.31,..,40850721,99.4,10.202
2016,YR2016,American Samoa,ASM,12843.3342903627,72.64,..,52245,..,..
2016,YR2016,Andorra,AND,40129.8385811474,84.489,94.6524124145508,72181,100,..
2016,YR2016,Angola,AGO,2051.81462126253,61.619,54.4167987304753,29183070,41.8,16.572
2016,YR2016,Antigua and Barbuda,ATG,16556.8551801588,76.968,..,89969,100,..
2016,YR2016,Argentina,ARG,12699.9623137756,76.105,109.598327636719,43900313,99.9,8.088
2016,YR2016,Armenia,ARM,3524.42476874707,74.8682926829268,..,2992300,99.8,17.617
2016,YR2016,Aruba,ABW,27441.5502144601,75.54,..,108727,100,..
2016,YR2016,Australia,AUS,50084.4440606385,82.4487804878049,155.594390869141,24190907,100,5.711
2016,YR2016,Austria,AUT,45061.4993920192,81.6414634146342,100.227989196777,8736668,100,6.064
2016,YR2016,Azerbaijan,AZE,3880.6852276838,72.568,86.5856935803605,9757812,100,5
2016,YR2016,"Bahamas, The",BHS,30616.5363157284,74.042,85.0686327399149,388055,100,12.7
2016,YR2016,Bahrain,BHR,23800.001440631,80.407,100.583649344321,1423726,100,1.19
2016,YR2016,Bangladesh,BGD,1649.28380858601,71.075,64.1664546117285,160811932,75.9,4.35
2016,YR2016,Barbados,BRB,20295.5672072046,76.168,108.310737609863,279598,100,8.247
2016,YR2016,Belarus,BLR,5039.77560949445,73.8268292682927,102.969005936733,9469379,98,5.844
2016,YR2016,Belgium,BEL,41854.5498296444,81.4390243902439,160.689270019531,11331422,100,7.83
2016,YR2016,Belize,BLZ,6140.86713919469,71.843,87.7313726328389,364705,93.3,7
2016,YR2016,Benin,BEN,1010.5338961993,59.283,55.2945899963379,11697842,37,1.834
2016,YR2016,Bermuda,BMU,108747.356144305,80.476,..,63449,100,..
2016,YR2016,Bhutan,BTN,3152.30905106786,71.119,85.6766128540039,747866,99.3,2.707
2016,YR2016,Bolivia,BOL,3035.87347732132,67.392,90.6152852803158,11180020,91.8,3.498
2016,YR2016,Bosnia and Herzegovina,BIH,4928.5665903114,77.124,83.1699523925781,3473003,100,25.408
2016,YR2016,Botswana,BWA,6749.05994339013,64.32,..,2234776,64.2,19.328
2016,YR2016,Brazil,BRA,8836.28546025694,75.081,102.56950378418,203218114,99.7,11.58
2016,YR2016,British Virgin Islands,VGB,..,76.624,98.6420950533463,33878,100,..
2016,YR2016,Brunei Darussalam,BRN,26663.2972950602,74.905,90.0986175537109,427564,100,8.537
2016,YR2016,Bulgaria,BGR,7822.49923292968,74.8121951219512,103.003921508789,6894139,97.3,7.575
2016,YR2016,Burkina Faso,BFA,663.742364842886,59.173,34.9336280775566,19334856,16.6,4.598
2016,YR2016,Burundi,BDI,232.937812100153,60.789,47.4715342848197,11239451,8.5,1.352
2016,YR2016,Cabo Verde,CPV,3608.96605234906,74.35,98.2528458088996,512554,87.5,12.085
2016,YR2016,Cambodia,KHM,1675.19555711109,69.635,..,15852803,68.8,0.716
2016,YR2016,Cameroon,CMR,1441.7201725688,60.293,61.4037045147156,23454161,59.8,3.529
2016,YR2016,Canada,CAN,42314.0615817218,81.94,111.607330322266,36110803,100,7.038
2016,YR2016,Cayman Islands,CYM,77802.2535658023,78.367,..,63100,100,..
2016,YR2016,Central African Republic,CAF,387.176203444318,50.999,13.9465503692627,4713663,13.4,5.793
2016,YR2016,Chad,TCD,861.831767630746,51.603,22.530490847167,15114655,9.2,1.091
2016,YR2016,Channel Islands,CHI,55947.579811974,81.2,..,163883,100,7.469
2016,YR2016,Chile,CHL,13649.8520452803,80.295,101.488136291504,18267221,100,6.926
2016,YR2016,China,CHN,8254.86859320357,77.214,..,1387790000,100,4.56
2016,YR2016,Colombia,COL,5959.84250367574,76.228,98.4156265258789,47437512,98.4,8.922
2016,YR2016,Comoros,COM,1365.48403444497,64.792,..,741741,76.4,4.117
2016,YR2016,"Congo, Dem. Rep.",COD,459.765036590388,59.081,..,83956415,17.3,4.528
2016,YR2016,"Congo, Rep.",COG,2093.10728558843,63.911,..,5222536,45.3,20.298
2016,YR2016,Costa Rica,CRI,12091.0301606154,79.988,118.203712463379,4866998,99.5,8.085
2016,YR2016,Cote d'Ivoire,CIV,1862.59597081287,58.814,46.2425069943643,25989405,64.3,1.896
2016,YR2016,Croatia,HRV,12820.1653893008,77.9219512195122,103.719436645508,4106867,100,13.015
2016,YR2016,Cuba,CUB,8110.55874283616,77.571,97.8005641142909,11265612,99.2,2
2016,YR2016,Curacao,CUW,18944.0962772875,76.322,..,159664,100,..
2016,YR2016,Cyprus,CYP,24280.056640625,81.534,99.1193084716797,1237112,100,13.006
2016,YR2016,Czechia,CZE,18753.9686718096,79.0268292682927,103.015083312988,10566332,100,3.952
2016,YR2016,Denmark,DNK,54500.9260410217,80.8536585365854,131.441299438477,5728010,100,5.989
2016,YR2016,Djibouti,DJI,2510.4300076241,63.335,..,1037653,59.8,25.982
2016,YR2016,Dominica,DMA,8802.56172041363,71.189,..,69606,97.8,..
2016,YR2016,Dominican Republic,DOM,7160.44200982307,72.889,80.0944728713855,10551430,98.9,7.284
2016,YR2016,Ecuador,ECU,5917.63771271481,76.094,98.0803764939006,16505139,98.7,4.597
2016,YR2016,"Egypt, Arab Rep.",EGY,3270.6287768197,70.437,75.7524086692863,101644589,100,12.45
2016,YR2016,El Salvador,SLV,3901.34014965811,70.908,68.2966095615156,6200800,96,4.418
2016,YR2016,Equatorial Guinea,GNQ,7453.19797948517,61.081,..,1508186,66.2,7.798
2016,YR2016,Eritrea,ERI,..,66.242,..,3124698,46.9,5.772
2016,YR2016,Estonia,EST,18666.3736521706,77.6414634146342,111.596199035645,1315790,100,6.882
2016,YR2016,Eswatini,SWZ,3238.17611961364,56.228,82.023935767308,1149507,63.4,22.718
2016,YR2016,Ethiopia,ETH,641.651523286233,64.162,..,106718162,42.9,2.556
2016,YR2016,Faroe Islands,FRO,56875.2803813296,81.9926829268293,..,49464,100,..
